design_object_count,layout_count,composition
169,105,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description', 'Separator', 'Title']]"
169,59,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
169,94,"Group:[types=['Group'], roles=['Description', 'Separator']]"
168,46,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Marker', 'Title']]"
164,95,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Description']]"
163,57,"Group:[types=['SVG', 'Text', 'VStack'], roles=['Background', 'Description', 'Marker']]"
158,100,"Group:[types=['Group', 'Image'], roles=['Decoration', 'Title']]"
157,57,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Marker', 'Title']]"
156,89,"Group:[types=['SVG', 'Table'], roles=['Decoration', 'Description']]"
156,93,"Group:[types=['Group', 'HStack', 'SVG'], roles=['Background', 'Decoration', 'Description']]"
154,66,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Separator']]"
153,104,"Group:[types=['HStack', 'VStack'], roles=['Description', 'Title']]"
152,100,"Group:[types=['Group', 'HStack'], roles=['Decoration', 'Title']]"
151,59,"Group:[types=['Chart', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
150,67,"Group:[types=['Text', 'VStack'], roles=['Description', 'Highlight']]"
148,60,"Group:[types=['Group', 'SVG', 'Text'], roles=['Description', 'Separator', 'Title']]"
148,85,"Group:[types=['Group', 'VStack'], roles=['Background', 'Description', 'Title']]"
148,32,"Group:[types=['Group', 'Text'], roles=['Marker', 'Title']]"
147,100,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Marker', 'Title']]"
145,42,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Description', 'Marker']]"
143,86,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Description', 'Marker', 'Title']]"
143,56,"Group:[types=['SVG', 'Text'], roles=['Description', 'Marker', 'Separator']]"
141,84,"Group:[types=['Group', 'HStack'], roles=['Description', 'Highlight']]"
140,83,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Description', 'Separator']]"
139,96,"Group:[types=['Group', 'VStack'], roles=['Background', 'Decoration', 'Description']]"
139,75,"Group:[types=['Group'], roles=['Description', 'Highlight', 'Title']]"
138,84,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Background', 'Description', 'Title']]"
135,70,"Group:[types=['Group', 'SVG'], roles=['Background', 'Description', 'Separator']]"
134,60,"Group:[types=['Text', 'VStack'], roles=['Decoration', 'Description']]"
132,72,"Group:[types=['HStack', 'VStack'], roles=['Description']]"
130,76,"Group:[types=['HStack', 'Image'], roles=['Decoration', 'Description']]"
130,29,"Group:[types=['Group'], roles=['Marker', 'Title']]"
130,61,"Group:[types=['SVG'], roles=['Description']]"
129,95,"Group:[types=['VStack'], roles=['Description', 'Title']]"
129,50,"Group:[types=['Chart', 'Group'], roles=['Description', 'Highlight']]"
129,93,"Group:[types=['Group', 'SVG'], roles=['Background', 'Decoration', 'Title']]"
128,59,"Group:[types=['Chart', 'Group'], roles=['Description']]"
125,60,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Marker', 'Title']]"
123,53,"Group:[types=['SVG', 'VStack'], roles=['Decoration', 'Description', 'Separator']]"
123,67,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description', 'Highlight', 'Title']]"
122,66,"Group:[types=['SVG', 'Text'], roles=['Background', 'Description', 'Separator']]"
121,85,"Group:[types=['Image', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Title']]"
121,34,"Group:[types=['Group', 'SVG', 'Text'], roles=['Description', 'Marker', 'Separator']]"
121,64,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Title']]"
121,50,"Group:[types=['Chart', 'Text'], roles=['Description', 'Title']]"
119,87,"Group:[types=['Group', 'Text'], roles=['Description', 'Subtitle', 'Title']]"
119,48,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight']]"
119,55,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Highlight']]"
118,83,"Group:[types=['Image', 'SVG'], roles=['Background']]"
118,82,"Group:[types=['Group'], roles=['Background']]"
117,46,"Group:[types=['Group', 'Text'], roles=['Background', 'Description']]"
116,77,"Group:[types=['SVG', 'VStack'], roles=['Decoration']]"
116,79,"Group:[types=['HStack', 'Text'], roles=['Subtitle', 'Title']]"
116,62,"Group:[types=['Group', 'Text', 'VStack'], roles=['Decoration', 'Description', 'Title']]"
116,62,"Group:[types=['Group', 'Text'], roles=['Background', 'Description', 'Title']]"
113,82,"Group:[types=['HStack', 'SVG'], roles=['Separator', 'Title']]"
113,80,"Group:[types=['Group'], roles=['Subtitle', 'Title']]"
110,16,"ZStack:[types=['SVG', 'Text'], roles=['Decoration', 'Marker']]"
110,57,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Highlight']]"
110,60,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Highlight', 'Title']]"
108,51,"Group:[types=['SVG', 'Text'], roles=['Decoration', 'Separator', 'Title']]"
107,51,"Group:[types=['SVG', 'Text'], roles=['Description', 'Marker', 'Title']]"
107,85,"Group:[types=['Text'], roles=['Highlight', 'Subtitle', 'Title']]"
106,53,"Group:[types=['Image', 'SVG'], roles=['Decoration', 'Description']]"
106,40,"Group:[types=['SVG', 'VStack'], roles=['Decoration', 'Highlight']]"
105,58,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Background', 'Description', 'Highlight']]"
104,56,"Group:[types=['Group', 'SVG'], roles=['Description', 'Separator', 'Title']]"
103,61,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Description', 'Highlight', 'Title']]"
103,40,"Group:[types=['Group', 'SVG'], roles=['Background', 'Description', 'Marker']]"
